0,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,5,True,25,relu,0.0,softmax,categorical_crossentropy
1,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,5,True,25,relu,0.05,softmax,categorical_crossentropy
2,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
3,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,5,True,50,relu,0.05,softmax,categorical_crossentropy
4,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,10,True,25,relu,0.0,softmax,categorical_crossentropy
5,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,10,True,25,relu,0.05,softmax,categorical_crossentropy
6,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,10,True,50,relu,0.0,softmax,categorical_crossentropy
7,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,10,relu,10,True,50,relu,0.05,softmax,categorical_crossentropy
8,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,5,True,25,relu,0.0,softmax,categorical_crossentropy
9,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,5,True,25,relu,0.05,softmax,categorical_crossentropy
10,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
11,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,5,True,50,relu,0.05,softmax,categorical_crossentropy
12,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,10,True,25,relu,0.0,softmax,categorical_crossentropy
13,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,10,True,25,relu,0.05,softmax,categorical_crossentropy
14,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,10,True,50,relu,0.0,softmax,categorical_crossentropy
15,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,5,15,relu,10,True,50,relu,0.05,softmax,categorical_crossentropy
16,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,5,True,25,relu,0.0,softmax,categorical_crossentropy
17,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,5,True,25,relu,0.05,softmax,categorical_crossentropy
18,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
19,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,5,True,50,relu,0.05,softmax,categorical_crossentropy
20,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,10,True,25,relu,0.0,softmax,categorical_crossentropy
21,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,10,True,25,relu,0.05,softmax,categorical_crossentropy
22,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,10,True,50,relu,0.0,softmax,categorical_crossentropy
23,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,10,relu,10,True,50,relu,0.05,softmax,categorical_crossentropy
24,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,15,relu,5,True,25,relu,0.0,softmax,categorical_crossentropy
25,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,15,relu,5,True,25,relu,0.05,softmax,categorical_crossentropy
26,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,15,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
27,./data/articles_zenodo.db,./data/glove.6B.50d.txt,1000,0.95,10,15,relu,5,True,50,relu,0.05,softmax,categorical_crossentropy
